name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,pm25
dhaka,2024-03-27,90.2,75.1,80.6,98.2,75.1,83.5,70.8,73.0,0.37,100,20.83,21.3,10.3,131.9,1013.2,57.4,2.3,268.3,23.4,9,30,0.57,184
dhaka,2024-03-28,87.7,73.3,79.0,95.7,73.3,81.4,70.2,75.1,0.179,100,41.67,15.2,9.2,122.4,1010.9,67.4,2.4,208.1,17.9,7,30,0.6,174
dhaka,2024-03-29,87.7,73.3,80.1,95.7,73.3,83.6,72.0,77.2,0.012,100,8.33,17.2,8.1,134.0,1009.6,70.6,2.0,213.6,18.5,7,10,0.64,184
dhaka,2024-03-30,91.3,78.7,84.5,104.9,78.7,92.7,76.6,77.9,0.226,100,50.0,22.6,16.1,183.2,1009.8,87.0,2.9,178.2,15.3,7,75,0.67,152
dhaka,2024-03-31,87.7,69.7,81.5,92.6,69.7,85.9,71.9,73.9,0.039,100,8.33,25.1,20.8,174.7,1009.5,61.8,2.4,246.5,21.4,9,75,0.71,125
dhaka,2024-04-01,96.7,76.9,86.2,102.4,76.9,90.3,70.5,63.1,0.0,0,0.0,20.6,16.1,189.5,1005.3,29.7,2.4,286.5,24.8,9,75,0.74,149
dhaka,2024-04-02,94.9,78.8,85.8,100.3,78.8,91.0,72.2,67.3,0.0,0,0.0,18.6,15.0,184.6,1005.7,38.8,2.5,283.7,24.5,9,75,0.75,157
dhaka,2024-04-03,95.7,80.5,87.1,103.2,85.9,95.7,74.8,69.0,0.0,0,0.0,19.0,15.0,201.4,1007.3,35.0,3.2,273.9,23.8,9,75,0.81,154
dhaka,2024-04-04,95.0,80.6,86.4,105.2,86.2,95.7,75.6,71.5,0.004,100,4.17,20.8,16.1,189.0,1007.0,44.6,2.6,277.1,24.0,9,75,0.84,152
dhaka,2024-04-05,91.4,82.4,85.2,107.8,90.9,97.0,78.1,79.8,0.095,100,25.0,18.1,12.8,172.1,1005.9,61.4,2.5,192.3,16.4,7,75,0.88,158
dhaka,2024-04-06,96.8,82.4,87.8,109.8,92.4,98.1,76.1,70.5,0.0,0,0.0,18.8,11.4,180.0,1005.8,61.4,2.5,271.9,23.6,9,75,0.91,159
dhaka,2024-04-07,87.8,80.6,83.4,102.4,83.9,91.1,74.6,75.4,0.0,0,0.0,23.9,11.4,193.2,1007.1,76.5,2.5,206.5,17.8,7,100,0.95,159
dhaka,2024-04-08,84.2,77.0,81.1,87.2,77.0,83.7,69.0,67.3,0.004,100,4.17,15.2,6.9,232.0,1009.8,79.8,2.5,259.8,22.5,9,10,0.98,168
dhaka,2024-04-09,93.2,71.6,82.7,94.2,71.6,83.9,65.2,58.0,0.0,0,0.0,9.2,6.9,258.5,1010.1,50.0,2.4,287.6,24.8,9,10,0.0,190
dhaka,2024-04-10,93.9,75.2,84.3,100.6,75.2,87.7,70.4,64.9,0.0,0,0.0,11.9,6.9,114.9,1010.4,69.9,2.4,243.2,21.0,9,10,0.05,204
dhaka,2024-04-11,95.8,77.0,85.3,98.2,77.0,87.8,68.9,60.5,0.004,100,4.17,12.1,9.2,358.4,1011.4,71.9,2.6,239.0,20.5,9,10,0.08,170
dhaka,2024-04-12,97.4,78.8,87.8,97.4,78.8,89.4,64.9,49.7,0.0,0,0.0,13.6,6.9,352.3,1010.8,57.5,2.6,265.1,22.8,10,10,0.11,170
dhaka,2024-04-13,98.6,78.8,87.7,100.5,78.8,90.1,66.3,50.8,0.004,100,4.17,11.4,4.7,107.3,1010.2,46.3,2.7,265.1,22.9,10,10,0.15,184
dhaka,2024-04-14,98.4,79.4,88.0,100.6,79.4,90.8,66.5,50.6,0.083,100,8.33,15.9,5.8,248.3,1010.2,53.5,2.5,264.8,22.9,9,10,0.18,190
dhaka,2024-04-15,99.3,80.6,89.7,101.2,83.3,92.0,65.4,46.7,0.004,100,4.17,14.3,6.9,222.0,1009.3,29.5,2.5,287.5,24.8,9,10,0.21,192
dhaka,2024-04-16,100.4,77.0,86.8,110.0,77.0,91.7,70.5,60.1,0.343,100,16.67,28.9,13.9,181.2,1006.9,44.4,2.6,271.5,23.3,9,30,0.25,151
dhaka,2024-04-17,95.8,78.8,85.5,116.1,78.8,94.3,75.1,72.1,0.2,100,12.5,21.5,13.9,171.0,1005.1,62.1,2.6,257.3,22.0,9,100,0.28,157
dhaka,2024-04-18,96.9,77.0,86.4,108.1,77.0,94.3,74.2,68.8,0.064,100,20.83,20.4,11.4,148.7,1004.9,56.2,2.6,251.0,21.7,9,100,0.31,152
dhaka,2024-04-19,100.5,82.4,90.4,110.0,90.9,99.9,74.1,63.2,0.0,0,0.0,26.8,17.2,192.4,1001.8,12.4,2.9,281.1,24.4,10,100,0.34,150
dhaka,2024-04-20,104.1,82.4,92.0,112.2,92.4,101.2,72.8,59.6,0.0,0,0.0,24.8,13.9,199.9,1001.2,15.2,2.9,306.8,26.4,10,75,0.38,138
dhaka,2024-04-21,100.4,84.2,90.5,113.8,94.2,104.2,77.6,67.9,0.0,0,0.0,25.5,20.8,186.0,1002.9,21.2,2.9,287.2,24.8,10,100,0.41,134
dhaka,2024-04-22,100.4,84.2,90.8,112.2,94.2,103.6,76.5,65.9,0.0,0,0.0,20.4,17.2,195.8,1004.8,52.5,2.7,276.1,23.7,9,100,0.44,152
dhaka,2024-04-23,100.5,83.7,91.1,107.4,95.8,101.5,74.4,62.5,0.0,0,0.0,18.3,15.0,200.4,1004.3,33.6,2.7,260.8,22.5,9,75,0.48,152
dhaka,2024-04-24,102.2,83.7,91.8,104.4,91.0,98.3,70.0,52.6,0.067,100,8.33,19.0,10.3,212.9,1003.6,29.1,3.0,270.9,23.3,9,30,0.5,157
dhaka,2024-04-25,102.3,82.4,91.8,111.5,90.9,100.2,71.4,56.8,0.0,0,0.0,16.6,11.4,205.3,1004.4,29.8,2.9,295.9,25.6,10,60,0.54,165
dhaka,2024-04-26,101.2,82.4,90.6,114.9,90.9,104.1,77.4,67.8,0.0,0,0.0,24.2,12.8,185.4,1004.3,17.4,2.8,288.7,24.9,10,75,0.58,155
dhaka,2024-04-27,98.6,80.6,90.0,112.4,85.3,103.9,77.8,69.2,0.0,0,0.0,23.3,13.9,175.7,1004.6,22.0,2.9,285.0,24.5,9,100,0.62,151
dhaka,2024-04-28,102.2,84.2,91.4,118.6,96.1,107.0,78.3,68.3,0.0,0,0.0,20.8,13.9,199.0,1004.3,37.0,2.9,289.1,24.8,9,100,0.65,154
